区块,字段ID,字段名称,数值/公式,单位,币种,统计周期,来源/状态,说明
公式,FM_08,MER_混合口径,=IN_07/IN_01,倍,—,—,本文件,混合业务总收入/总广告花费；含自然流量稀释
公式,FM_09,净收入率_NET_REV_RATE,=1-IN_11-IF(META_06明确,IN_12,0),比率,—,—,本文件,扣退款与税费；META_06未确认时税费项按0并标红待确认
公式,FM_10,单均贡献毛利_CM_PER_ORDER,=IN_08*IN_09*FM_09-IN_10,元/单,CNY,—,本文件,AOV×毛利率×净收入率−单均可变履约成本
公式,FM_11,盈亏平衡CPA_BE_CPA,=FM_10,元/转化,CNY,—,本文件,获客成本=单均贡献毛利时盈亏平衡；须IN_08/09/10已确认
公式,FM_12,盈亏平衡ROAS_BE_ROAS,=1/(IN_09*FM_09-IN_10/IN_08),倍,—,—,本文件,1/（毛利率×净收入率−可变成本率）；分母≤0时输出N/A（亏损结构，不得投放）
公式,FM_13,贡献毛利总额_CM_TOTAL,=IN_04*FM_10-IN_01,元,CNY,—,本文件,转化数×单均贡献毛利−广告花费；SKILL.md第5条：区别于现金流
公式,FM_14,经营性现金流_CF,待补充（=CM_TOTAL−固定费用分摊−账期占用）,元,CNY,—,待财务确认,SKILL.md第5条：现金流与贡献毛利分开；账期/固定费用未确认前不计算
公式,FM_15,LTV_CAC比,=IN_13/FM_05,倍,—,—,本文件,仅当LTV窗口与CAC回收窗口兼容；否则输出N/A并标注窗口不兼容
公式,FM_16,展示份额机会上限_IS_OPP,=IF(IN_14>0,(1-IN_14)/IN_14*IN_01,"N/A"),元,CNY,—,本文件,简化线性外推上限，仅作量级参考；实际受预算/竞争/饱和度约束
校验,CHK_01,花费为正,IN_01>0,布尔,—,—,本文件,不通过则所有效率指标N/A
校验,CHK_02,点击为正,IN_03>0,布尔,—,—,本文件,不通过则CPC/CVR N/A
校验,CHK_03,转化为正,IN_04>0,布尔,—,—,本文件,不通过则CPA N/A（除零保护，禁止输出0）
校验,CHK_04,口径一致,IN_06与IN_04归因窗口=META_05,布尔,—,—,本文件,平台收入与转化必须同窗口，否则ROAS失真
校验,CHK_05,毛利率已确认,IN_09非空且0<IN_09<1,布尔,—,—,本文件,不通过则盈亏平衡指标N/A
校验,CHK_06,税费口径已确认,META_06≠待确认,布尔,—,—,本文件,不通过则净收入率标红，仅作敏感性参考
校验,CHK_07,LTV窗口兼容,LTV窗口≥CAC回收期,布尔,—,—,本文件,不通过则LTV:CAC输出N/A
校验,CHK_08,预算未触顶,累计花费≤IN_15,布尔,CNY,四周,本文件,触顶即暂停，等待复盘决策
情景输出,OUT_01,基准情景_BASE,以IN实际值代入FM_01–FM_16,—,—,—,本文件,试运行结束后用实际数据计算；当前无真实输入，不输出数值
情景输出,OUT_02,下行情景_DOWN,CVR=BASE×0.70；CPC=BASE×1.20；退款率=BASE+0.05,—,—,—,本文件,乘数为保守假设（非行业数据），用于压力测试；实际波动以历史数据校准
情景输出,OUT_03,上行情景_UP,CVR=BASE×1.20；CPC=BASE×0.90；退款率=BASE−0.02,—,—,—,本文件,乘数为乐观假设（非行业数据），仅作上限参考
情景输出,OUT_04,下行贡献毛利,=IN_04*0.7/1.2*FM_10-IN_01,元,CNY,—,本文件,花费不变；CVR×0.70、CPC×1.20→转化≈基准×0.583；填入实际值后计算
情景输出,OUT_05,是否止损（下行）,IF(OUT_04<0,"触发止损评审","继续观察"),—,—,—,本文件,下行情景贡献毛利为负即进入止损评审
敏感性,SENS_01,CVR±20%对CPA影响,CPA=CPC/(BASE_CVR×(1±0.2)),元/转化,CNY,—,本文件,CPA对CVR高度敏感，CVR是首要优化变量
敏感性,SENS_02,毛利率±5pct对BE_CPA影响,BE_CPA=AOV×(GM±0.05)×NET−VC,元/转化,CNY,—,本文件,毛利率直接决定可承受获客成本上限
敏感性,SENS_03,花费档位对MER影响,低/中/高三档预算×实测MER,倍,—,—,本文件,用于判断边际递减；须实测，不可外推
决策含义,DEC_01,扩量条件,实测CPA≤IN_16 且 ROAS≥IN_17 且 下行情景CM_TOTAL≥0 且 CHK全通过,—,—,—,本文件,四条同时满足方可建议扩量；任一不满足则迭代或止损
决策含义,DEC_02,止损条件,累计花费达IN_15 或 连续7天CPA>BE_CPA×1.2 或 下行情景CM_TOTAL<0,—,—,—,本文件,触任一即停并复盘
决策含义,DEC_03,迭代条件,CPA介于IN_16与BE_CPA之间,—,—,—,本文件,不扩不止，优化创意/定向/落地页后再测
决策含义,DEC_04,禁止事项,禁止在IN_09/META_06未确认时给出点预测或扩量建议,—,—,—,本文件,源自SKILL.md：不得在缺少关键输入时给点预测；不得编造财务输入
